"","sid","depth","minProbe","minProbeDate","maxProbe","maxProbeDate","thickness","modLL","modDUL","slgaLL","slgaDUL"
"38","opSID_31710",800,30.2864052083333,2016-07-19,44.4493895833333,2021-02-21,100,0.140060838005723,0.286291933437507,0.115723676353001,0.248076789601324
"39","opSID_31710",900,21.4163916666667,2016-07-19,28.65655,2019-03-05,100,0.138992731265041,0.287514518171277,0.11835882230444,0.249670801040429
"40","opSID_33972",100,0.03515,2020-05-26,19.5837322916667,2017-11-23,100,0.0534419078440925,0.200049738665554,0.0734162560574952,0.219359318928984
"41","opSID_33972",200,2.60374270833333,2019-09-19,31.8410364583333,2019-06-22,100,0.0680720483992492,0.221829927929155,0.0797168225939945,0.218236004660721
"42","opSID_33972",300,4.67115,2019-09-19,34.599771875,2018-08-06,100,0.0862652043873659,0.230201187119273,0.0847869212454852,0.218274847187392
"43","opSID_33972",400,5.90595208333333,2019-09-19,31.2091229166667,2018-08-08,100,0.102934931746134,0.235029433923693,0.0886626869932632,0.219399336562373
"44","opSID_33972",500,5.064440625,2019-09-19,43.7317104166667,2017-10-19,100,0.11473872037253,0.242652795109598,0.0934804915893988,0.222693321012663
"45","opSID_33972",600,6.476734375,2020-10-11,40.5807791666667,2019-01-28,100,0.12164824390975,0.253124983615694,0.0992584398792486,0.228165985692727
"46","opSID_33972",700,8.95551979166667,2019-09-22,35.825459375,2019-03-05,100,0.125254568683231,0.263435555869873,0.104917456787324,0.233962288433841
"47","opSID_33972",800,6.768275,2019-09-22,33.4939854166667,2018-01-29,100,0.127875544401637,0.269198927409067,0.108885556401187,0.237379822126014
"48","opSID_33972",900,5.04909895833333,2019-09-22,33.2621958333333,2019-03-05,100,0.129530813859109,0.270377932263249,0.111149416806323,0.238395685014076
"49","opSID_33972",1000,7.25544166666667,2019-08-22,31.3744208333333,2019-03-06,100,0.130220377055646,0.266972570432418,0.111709038002734,0.237009877098027
"50","opSID_33984",100,9.58333333333333e-05,2017-06-15,23.9636135416667,2017-02-06,100,0.0750209654856013,0.200390231724962,0.0974386044124271,0.244225171924749
"51","opSID_33984",200,22.6650375,2018-11-22,42.630828125,2020-10-24,100,0.103496403116462,0.236624043641818,0.111677821562695,0.252672172693992
"52","opSID_33984",300,26.8445958333333,2018-10-11,41.5433135416667,2020-10-24,100,0.124401110823303,0.258887056529868,0.124581940316652,0.26214209572723
"53","opSID_33984",400,28.365534375,2018-10-18,44.2068395833333,2020-10-24,100,0.134440554153427,0.26384497285118,0.133463740845142,0.268915612378528
